編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2009/10/20 下午 01:40:00,121.6,25.17,6.7,3.2,台北市地震站北偏東方  17.0  公里
98116   ,2009/10/4 上午 01:36:00,121.58,23.65,29.2,6.1,花蓮西林地震站東南方  23.0  公里
98102   ,2009/8/17 上午 08:05:00,123.88,23.37,43.3,6.8,花蓮市地震站東偏南方  240.4  公里
98085   ,2009/7/26 上午 09:00:00,120.96,23.69,14.3,5.4,南投名間地震站東南方  34.3  公里
98027   ,2009/4/17 下午 08:37:00,121.68,23.92,43.4,5.3,花蓮市地震站東南方  9.5  公里
97096   ,2008/12/8 上午 05:18:00,122.2,23.85,35.1,5.9,花蓮市地震站東偏南方  60.9  公里
97073   ,2008/9/9 下午 03:43:00,122.63,24.61,103.8,5.9,宜蘭蘇澳地震站東方  78.4  公里
97053   ,2008/7/11 上午 11:07:00,122.25,25.13,16,4.7,基隆市地震站東方  48.3  公里
97038   ,2008/5/11 上午 03:42:00,122.53,23.95,25,5.6,花蓮市地震站東方  93.5  公里
97036   ,2008/5/3 下午 09:17:00,121.89,24.44,20.5,4.5,宜蘭南澳地震站東方  14.2  公里
小區域,2008/4/18 下午 12:02:00,121.69,24.76,75.3,3.6,宜蘭市地震站西方  6.5  公里
96082   ,2007/11/29 上午 05:05:00,121.98,24.78,69.1,5.4,宜蘭市地震站東方  22.3  公里
96074   ,2007/11/8 上午 06:54:00,122.32,24.97,16.8,4.9,基隆市地震站東偏南方  58.5  公里
96062   ,2007/9/22 下午 02:27:00,121.87,24.46,22.5,4.8,宜蘭南澳地震站東偏北方  12.7  公里
96059   ,2007/9/7 上午 01:55:00,122.32,24.27,57.8,5.5,宜蘭蘇澳地震站東南方  59.8  公里
96047   ,2007/7/23 下午 09:40:00,121.64,23.72,38.6,5.8,花蓮西林地震站東偏南方  22.5  公里
96032   ,2007/5/13 上午 01:50:00,121.67,24.55,44.3,4.6,宜蘭牛鬥地震站東南方  13.8  公里
96025   ,2007/3/31 上午 10:45:00,121.91,24.86,95.3,4.6,宜蘭市地震站東偏北方  19.0  公里
96005   ,2007/1/25 下午 06:59:00,122.03,22.63,25.8,6.2,台東蘭嶼地震站東北方  81.6  公里
95107   ,2006/12/26 下午 08:34:00,120.42,21.97,50.2,7,屏東恆春地震站西方  33.9  公里
95106   ,2006/12/26 下午 08:26:00,120.56,21.69,44.1,7,屏東恆春地震站南偏西方  40.2  公里
95104   ,2006/12/24 上午 01:28:00,122.32,24.81,9.8,5.4,宜蘭蘇澳地震站東偏北方  51.5  公里
95090   ,2006/10/12 下午 10:46:00,122.65,23.96,25.3,5.8,宜蘭南澳地震站東偏南方  104.5  公里
95065   ,2006/7/28 下午 03:40:00,122.66,23.97,28,6,宜蘭南澳地震站東偏南方  105.5  公里
95034   ,2006/4/5 上午 03:30:00,122.76,24.49,99.5,5.8,宜蘭蘇澳地震站東方  92.0  公里
95024   ,2006/4/1 下午 06:02:00,121.08,22.88,7.2,6.2,台東市地震站北偏西方  16.4  公里
95022   ,2006/3/29 下午 03:21:00,121.8,24.62,70.5,4.7,宜蘭蘇澳地震站西方  6.0  公里
95010   ,2006/2/7 下午 11:41:00,121.78,24.81,89.5,4.8,宜蘭市地震站北偏東方  5.6  公里
